游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
机械工程;工程元件或部件;曲轴机构的元件;转动工程元件;曲轴或连杆用的;	汽车工程;汽车发动机;部件、零件;曲柄连杆机构;曲轴;	电工技术;电机;发电机、大型发电机组;永磁发电机;
武器;弹药;爆炸装药，例如弹药;深水炸弹;	武器、军用器材;海军武器;水中武器;深水炸弹;	化学工业;爆炸物工业、火柴工业;猛性炸药;混合猛性炸药;氯酸盐与过氯酸盐炸药;
武器;弹药;爆炸装药，例如弹药;深水炸弹;	武器工业;水中兵器;深水炸弹及发射装置;各种深水炸弹;	农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
机械工程;炉;窑;一般馏炉、窑;开式烧结设备或类似设备;炉，窑;零部件;	一般性问题;化工机械与仪器、设备;化工用炉灶、化工窑;炉窑附属设备;	工业技术;矿业工程;矿山运输与设备;矿井提升;提升机;
加热;炉;一般馏炉、烘烤炉;开式烧结设备;回转炉;	工业技术;冶金工业;炼钢;炼钢炉;回转炉;	制鞋工业;制鞋工业;结构、部件及配件;鞋跟;
加热;炉;一般馏炉、烘烤炉;开式烧结设备;回转炉;	冶金工业;一般性问题;有色冶金炉;烧结用炉;回转炉;	金属学与金属工艺;金属切削加工及机床;齿轮加工及齿轮机床;齿轮其他加工机床;
工程元件或部件;紧固或固定构件，螺栓;连接件或连接;螺栓;	铁路运输;铁路线路工程;线路构造;钢轨联接及扣件;螺栓;	金属学与金属工艺;铸造;铸造车间;
流体压力执行机构;流体动力学;影响流体流动;	力学;流体力学;物理-化学流体动力学;界面和毛细流动;	无线电电子学;无线电导航;导航系统;宇宙飞行器导航系统;
机械工程;工程元件或部件;传动装置;用于传送运动的摩擦面的元件;摩擦元件;	机械工业;机械零件及传动装置;机械传动机构;摩擦传动;摩擦分合装置;	电工技术;电器;电阻器、电位器;固定电阻器;
机械工程;武器;武器;伪装工事;伪装;	军事技术;军事工程;工程技术一般作业;伪装;	工业技术;机械;机械零件及传动装置;气压传动;气压元件;控制阀;流量阀;
武器;武器;武器瞄准器;制导;用于自身推进导弹的方向控制系统;	工业技术;武器工业;火箭、导弹;导弹;制导与控制;飞行控制系统;	商品流通与市场;广告;广告策划与制作;
机械工程;发动机装置;旋转活塞式机器或发动机的密封装置;	汽车工程;汽车发动机;旋转活塞式发动机;部件;密封结构;	电工技术;电机;发电机、大型发电机组（总论）;
机械工程;照明;照明;特别适用于车辆外部的信号装置，方向指示灯;	公路运输;汽车工程;汽车结构部件;仪表;指示信号灯;	化学;物理化学（理论化学）、化学物理学;表面现象的物理化学;吸附;吸附理论;离子交换吸附作用;离子交换剂;
机械工程;照明;照明;特别适用于车辆外部的信号装置，刹车灯;	汽车工程;汽车结构部件;电气设备及附件;照明与信号系统;停刹车信号装置;	冶金工业;冶炼原料及矿石预处理;矿石;
机械工程;能源利用;利用太阳能产生机械功的装置;带聚积太阳能装置的;	能源与动力工程;特殊热能及其机械;太阳能技术;太阳能转换装置和设备;聚光器;	化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;电解法;
机械工程;蒸汽机;机器用的循环操作阀;滑动阀机构;	能源与动力工程;蒸汽动力工程;蒸汽机;构造;滑阀室;	教育、体育;体育;其他体育运动;击剑;
流体压力执行机构;流体动力学;影响流体流动;	力学;流体力学;普通流体力学;流体动力学;	武器、军用器材;海军武器;水中武器;深水炸弹;
燃烧发动机;热气或燃烧生成物的发动机装置;喷气推进装置;涵道风扇的装置;	航空;基础理论及试验;空气动力学;飞机空气动力学;涵道风扇空气动力学;	其他轻工业、手工业;体育器具制造工业;其他体育器具;登山运动器具;
机械工程;传送旋转运动的联轴器;离合器;内部控制的自动离合器;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;	工业技术;化学工业;农药工业;除草剂;无机除草剂;
加热;供热;住宅热水供应系统;集中供热系统;热水和蒸汽系统;	建筑科学;房屋建筑设备;房屋卫生技术设备;热水供应设备;热水供应系统;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
加热;供热;住宅热水供应系统;集中供热系统;热水和蒸汽系统;	建筑科学;市政工程;城市集中供热;热水系统;	机械、仪表工业;起重机械与运输机械;运输机械;输送机辅助设备;抛料机;
炉;窑;烘烤炉;对出炉材料的装卸或处理;冷却;	冶金工业;炼钢;转炉炼钢;熔炼过程及操作;冷却;	工业技术;冶金工业;炼铁;炼铁炉（高炉）;热风炉;砌筑、维修;
燃烧发动机;除压缩点火之外的内燃机点火;与内燃机其他部件结构上组合一起的火花塞;	公路运输;汽车工程;汽车结构部件;电气设备及附件;点火系统;火花塞;	化学;化学;有机化学;杂环化合物;七节杂环;
炉;电弧炉;带有或不带有其他热源的电加热的，例如电弧炉;	工业技术;冶金工业;炼钢;炼钢炉;电炉;电弧炉;	植物学;植物分类学（系统植物学）;被子植物亚门;天南星科;
加热;炉;床式炉，例如反射炉;	铸造;铸造机械设备;熔炼设备;反射炉;	能源与动力工程;内燃机;汽油机;构造;点火系统;
计算或控制用的流体回路元件;无运动部件的回路元件;振荡器;	无线电电子学;基本电子电路;振荡技术、振荡器;振荡器;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;四偶氮染料;
机械工程;工程元件或部件;活塞;缸;一般压力容器;密封;活塞;筒状活塞;柱塞;	公路运输;汽车工程;汽车发动机;旋转活塞式发动机;部件;缸体、缸盖、活塞;	玩具制造工业;餐具、炊具、浴具;
一般热交换;通用热交换或传热设备的零部件;管件;管件的组件;	交通运输;综合运输;管道运输;管道结构与设计;管件;	食品工业;水产加工工业;水产制品;鱼粉、鱼翅;
一般机器或发动机;活塞往复运动的往复活塞式机器或发动机;	汽车发动机;往复式发动机;各种类型往复式发动机;	农业科学;园艺;果树园艺;浆果类;葡萄;
燃烧发动机;热气或燃烧产物的变容式发动机装置;有往复式活塞发动机;	汽车发动机;往复式发动机;各种类型往复式发动机;稀薄燃烧发动机;	金属学与金属工艺;金属压力加工;冷冲压（钣金加工）;深冲、拉延成型、拉深;
机械工程;燃烧发动机;内燃机点火;其他点火;	能源与动力工程;内燃机;汽油机;构造;点火系统;	轻工业、手工业;纺织工业、染整工业;一般性问题;机织（织造工艺）;
燃烧设备;只用固体燃料的燃烧设备;燃烧设备;	化工机械与仪器、设备;化学反应过程设备;化工燃烧设备;	航空、航天;航空;航空器结构力学;结构分析与计算;机身;
武器;弹药;爆破;爆炸装药;深水炸弹;	武器、军用器材;海军武器;水中武器;深水炸弹;	纺织工业;针织;针织工艺;经编工艺;
机械工程;武器;爆破;弹药;爆炸装药;弹药;练习或教练弹药;	武器工业;弹药、引信、火工品;弹药;炸弹;练习炸弹、试验炸弹;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;
机械工程;传送旋转运动的联轴器;离合器;流体离合器;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;	工业技术;冶金工业;炼钢;炼钢炉;电炉;电弧炉;
机械工程;一般热交换;蒸汽或其他蒸气冷凝器;冷凝器;	机车工程;蒸汽机车;锅炉部分;冷凝系统;冷凝器;	电工技术;电器;控制器、接触器、起动器、电磁铁;电磁铁;制动电磁铁;
机械工程;蒸汽的发生;蒸汽锅炉;蒸汽锅炉的组成件;从锅炉内清除水的装置;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;水处理及给水装置;	交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;空气压缩机、空调设备;
机械工程;燃烧设备;燃气轮机的燃烧室;连续燃烧室;	能源与动力工程;内燃机;燃气轮机（燃气透平）;燃烧室;	铁路运输;铁路线路工程;线路构造;轨道;轨道结构理论、轨道设计;轨道支撑及装置;
武器;导弹或鱼雷发射装置;鱼雷发射装置;用于海上鱼雷的;	武器工业;水中兵器;鱼雷及其发射装置;鱼雷发射装置;	轻工业、手工业;纺织工业、染整工业;一般性问题;机织（织造工艺）;
武器;导弹发射装置;火箭发射装置;用于火箭的;	武器工业;水中兵器;深水炸弹及发射装置;火箭式发射装置;	工业技术;机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚针轴承;
机械工程;蒸汽的发生;蒸汽锅炉;火箱型蒸汽锅炉，带有烟管或火管;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;各种类型锅炉;火管锅炉;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;
武器;弹药;爆炸装药;弹药;水雷;触发水雷;	武器工业;水中兵器;水雷;各种水雷;触发水雷;	食品工业;制糖工业;各种糖的生产;麦芽糖;
炉;烘烤炉;通用的炉的零部件或附件;装料;炉料控制;	冶金工业;炼钢;平炉炼钢;平炉操作技术;开炉装料;	无线电电子学、电信技术;电视;电视扫描系统;非线性扫描系统;
爆破;爆破;爆破技术的特定应用;	一般工业技术;工业通用技术与设备;爆破技术;	铁路运输;铁路线路工程;铁路养护与维修;除雪、防雪、防冰冻及设备;
炉;烘烤炉;通用的炉的零部件或附件;装料;炉料控制;	冶金工业;炼铁;高炉操作;开炉、配料;开炉、装料;	化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;四偶氮染料;
武器;爆破;武器;发射装置;迫击炮;	军事技术;武器、军用器材;炮兵武器;迫击炮;	能源与动力工程;内燃机;燃气轮机（燃气透平）;燃烧室;
武器;爆破;武器;发射装置;迫击炮;	工业技术;武器工业;火炮;迫击炮;	金属腐蚀与保护、金属表面处理;金属表面防护技术;金属覆层保护;喷镀法;
武器;爆破;武器;例如加农炮;发射装置，加农炮;	工业技术;武器工业;火炮;加农炮;	化学;有机化学;无环化合物;脂肪族含氮化合物;羟氨及联氨衍生物;肼类;
炉灶;其他家用炉或灶;炉或灶的零部件;液体燃料的炉或灶;	五金制品工业;五金制品;日用五金制品;炉灶及灶具;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;水处理及给水装置;
燃烧发动机;热气的发动机装置;同时以燃料-空气混合气压缩为特征的发动机;	汽车工程;汽车发动机;往复式发动机;各种类型往复式发动机;气体燃料发动机;	武器工业;弹药、引信、火工品;引信;武器用引信;地雷引信;
机械工程;液力机械或液力发动机;产生机械动力;水轮;	能源与动力工程;水能、水力机械;水轮机;小型水轮机;	地质、矿产普查与勘探;钻探工程;钻头、钻具及工具;钻头;
机械工程;工程元件或部件;传送旋转运动的联轴器;离合器;联轴器;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;	工业技术;冶金工业;炼铁;炼铁产品;铸造生铁;球墨铸铁;
机械工程;工程元件或部件;转动工程元件;轴承;旋转运动的轴承;滑动接触轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;	建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;
机械工程;工程元件或部件;转动工程元件;轴承;旋转运动的轴承;滚珠轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚珠轴承;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;
机械工程;工程元件或部件;转动工程元件;轴承;旋转运动的轴承;滚柱轴承;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚柱轴承;	太阳能技术;太阳能转换装置和设备;聚光器;
机械工程;一般机器或发动机;蒸汽机;非变容式机器或发动机，如汽轮机;	工业技术;能源与动力工程;蒸汽动力工程;蒸汽轮机;各种类型的蒸汽轮机;	工业技术;无线电电子学、电信技术;真空电子技术;电子管;复合管;
燃烧发动机的起动;发动机的起动辅助装置;发动机用电动机起动;	航空发动机;发动机附件系统;起动系统;原理;电动起动;	轻工业、手工业;造纸工业;机械与设备;造纸机械;长网造纸机;
